subj_wossc_code,subj_oecd_code,area34,weight
aa,1.03,Electr/Energy,43.63219150248915
aa,1.03,Audiovisual,766.6827092492022
aa,1.03,Telecom,576.2851121868007
aa,1.03,DigitalComm,127.1688198164338
aa,1.03,BasicCommProcess,472.2679476244375
aa,1.03,ComputerTech,2073.974217892275
aa,1.03,IT_Methods,17.09215699671768
aa,1.03,Semiconductors,84.25998822366819
aa,1.03,Optics,37.90460958471522
aa,1.03,Measurement,852.0419984391192
aa,1.03,AnalysisBioMaterials,15.38047225365881
aa,1.03,Control,44.00478013139218
aa,1.03,MedicalTechn,605.3348120254232
aa,1.03,OrganicChem,6.837828293908387
aa,1.03,Biotechnology,11.52009511762299
aa,1.03,Pharmaceuticals,31.50965543423081
aa,1.03,Polymers,8.421284066978842
aa,1.03,FoodChemistry,6.085776874795556
aa,1.03,MaterialsChemistry,10.1953546886798
aa,1.03,Materials/Metallurgy,13.09746269532479
aa,1.03,SurfaceTechn,20.1168044032529
aa,1.03,ChemEngineering,101.6124947124626
aa,1.03,EnvironmentalTechn,24.95152494008653
aa,1.03,Handling,7.833965293131769
aa,1.03,MachineTools,11.2125160228461
aa,1.03,Engines/Pumps/Turbines,37.25936487549916
aa,1.03,Textiles/PaperMachines,10.38582949945703
aa,1.03,OtherMachines,11.82684017950669
aa,1.03,ThermProcesses,10.76126523688436
aa,1.03,MechElements,35.67092589940876
aa,1.03,Transport,32.68156795296818
aa,1.03,Furniture/Games,15.21150461118668
aa,1.03,OtherConsGoods,171.7394320778549
aa,1.03,CivilEngineering,38.62486234679818
ac,2.02,Electr/Energy,557.7232195872348
ac,2.02,Audiovisual,201.2073196526617
ac,2.02,Telecom,282.7276869493071
ac,2.02,DigitalComm,184.5455990037881
ac,2.02,BasicCommProcess,80.65150360250846
ac,2.02,ComputerTech,1415.850024807965
ac,2.02,IT_Methods,108.2764627393335
ac,2.02,Semiconductors,84.23674387100618
ac,2.02,Optics,77.13929828582332
ac,2.02,Measurement,598.5981416848954
ac,2.02,AnalysisBioMaterials,10.43329696997534
ac,2.02,Control,636.6730035173241
ac,2.02,MedicalTechn,183.8529338904191
ac,2.02,OrganicChem,15.62209018098656
ac,2.02,Biotechnology,11.13701960805338
ac,2.02,Pharmaceuticals,5.181588145438582
ac,2.02,Polymers,8.336539992131293
ac,2.02,FoodChemistry,4.16796731390059
ac,2.02,MaterialsChemistry,9.961214024398942
ac,2.02,Materials/Metallurgy,20.29358069272712
ac,2.02,SurfaceTechn,32.57785885746125
ac,2.02,ChemEngineering,27.2768378702458
ac,2.02,EnvironmentalTechn,16.81880941893905
ac,2.02,Handling,281.2321842899546
ac,2.02,MachineTools,56.71270360797644
ac,2.02,Engines/Pumps/Turbines,179.5429099583998
ac,2.02,Textiles/PaperMachines,25.57598583213985
ac,2.02,OtherMachines,40.45951974857599
ac,2.02,ThermProcesses,22.09610590757802
ac,2.02,MechElements,66.84257733542472
ac,2.02,Transport,298.9296348853968
ac,2.02,Furniture/Games,36.62088883621618
ac,2.02,OtherConsGoods,18.14668595185503
ac,2.02,CivilEngineering,36.99757557595149
ad,4.02,Electr/Energy,5.766709259245545
ad,4.02,Audiovisual,4.368518527597189
ad,4.02,Telecom,13.73951648175716
ad,4.02,DigitalComm,4.717694204300642
ad,4.02,BasicCommProcess,1.074116746662185
ad,4.02,ComputerTech,32.75057134078816
ad,4.02,IT_Methods,8.189384567551315
ad,4.02,Semiconductors,7.057051298208535
ad,4.02,Optics,8.602214753627777
ad,4.02,Measurement,32.26515138708055
ad,4.02,AnalysisBioMaterials,41.91606224956922
ad,4.02,Control,3.076377563178539
ad,4.02,MedicalTechn,43.13219301612116
ad,4.02,OrganicChem,39.64322581794113
ad,4.02,Biotechnology,220.7800387971802
ad,4.02,Pharmaceuticals,307.1649632051121
ad,4.02,Polymers,7.473686140961945
ad,4.02,FoodChemistry,629.0932497526519
ad,4.02,MaterialsChemistry,47.47690564463846
ad,4.02,Materials/Metallurgy,5.435309551190585
ad,4.02,SurfaceTechn,5.27351582236588
ad,4.02,ChemEngineering,17.02121325209737
ad,4.02,EnvironmentalTechn,12.13333069253713
ad,4.02,Handling,6.170238139107823
ad,4.02,MachineTools,8.100000001490116
ad,4.02,Engines/Pumps/Turbines,2.314285732805729
ad,4.02,Textiles/PaperMachines,1.240719703957438
ad,4.02,OtherMachines,110.8397038443945
ad,4.02,ThermProcesses,1.25
ad,4.02,MechElements,2.5
ad,4.02,Transport,2.427083346061409
ad,4.02,Furniture/Games,1.888888899236917
ad,4.02,OtherConsGoods,2.160380151122808
ad,4.02,CivilEngineering,1.055072469636798
ae,4.05,Electr/Energy,10.29470016015694
ae,4.05,Audiovisual,3.500000014901161
ae,4.05,Telecom,16.00358993560076
ae,4.05,DigitalComm,1.940054420381784
ae,4.05,BasicCommProcess,.7688492089509964
ae,4.05,ComputerTech,30.38343604840338
