oecd_main,oecd_code,oecd_namefull,oecd_nameshort,wos_code,wos_namefull,wos_nameshort
1,1.03,Physical sciences,sci:physics,aa,Acoustics,acoustics
2,2.02,"Electrical engineering, electronic engineering, information engineering",eng:electr,ac,Automation & Control Systems,autom & ctrl syst
4,4.02,Animal and dairy science,agr:animal,ad,"Agriculture, Dairy & Animal Science","agric, dairy & anim"
4,4.05,Other agricultural sciences,agr:other,ae,Agricultural Engineering,agric engineer
4,4.05,Other agricultural sciences,agr:other,af,Agricultural Economics & Policy,agric econ & pol
4,4.01,"Agriculture, forestry, and fisheries",agr:agro,ah,"Agriculture, Multidisciplinary","agric, multidisc"
2,2.03,Mechanical engineering,eng:mechan,ai,"Engineering, Aerospace","eng, aerospace"
4,4.01,"Agriculture, forestry, and fisheries",agr:agro,am,Agronomy,agronomy
3,3.02,Clinical medicine,med:clin,aq,Allergy,allergy
3,3.01,Basic medicine,med:basic,ay,Anatomy & Morphology,anatomy & morphol
3,3.02,Clinical medicine,med:clin,az,Andrology,andrology
3,3.02,Clinical medicine,med:clin,ba,Anesthesiology,anesthesiology
1,1.06,Biological sciences,sci:biol,bd,Biodiversity Conservation,biodiv conservat
5,5.04,Sociology,soc:sociol,bf,Anthropology,anthropology
6,6.01,History and archaeology,hum:history,bi,Archaeology,archaeology
6,6.04,"Art (arts, history of arts, performing arts, music)",hum:arts,bk,Architecture,architecture
5,5.07,Social and economic geography,soc:geogr,bm,Area Studies,area studies
6,6.04,"Art (arts, history of arts, performing arts, music)",hum:arts,bp,Art,art
6,6.05,Other humanities,hum:other,bq,"Humanities, Multidisciplinary","humanities, mult"
1,1.03,Physical sciences,sci:physics,bu,Astronomy & Astrophysics,astron & astroph
5,5.01,Psychology,soc:psychol,bv,"Psychology, Biological","psychol, biolog"
9,9,Unmatched Subject Codes,nnn,cl,Audiology & Speech-Language Pathology,audiol & sp pathol
5,5.01,Psychology,soc:psychol,cn,Behavioral Sciences,behavioral sc
1,1.06,Biological sciences,sci:biol,co,Biochemical Research Methods,biochem res meth
1,1.06,Biological sciences,sci:biol,cq,Biochemistry & Molecular Biology,biochem & mol biol
9,9,Unmatched Subject Codes,nnn,ct,Cell & Tissue Engineering,cell & tissue eng
1,1.06,Biological sciences,sci:biol,cu,Biology,biology
1,1.06,Biological sciences,sci:biol,da,Biophysics,biophysics
2,2.08,Environmental biotechnology,eng:biotech,db,Biotechnology & Applied Microbiology,biotech & appl mic
1,1.06,Biological sciences,sci:biol,de,Plant Sciences,plant sciences
5,5.02,Economics and business,soc:econ,di,Business,business
5,5.02,Economics and business,soc:econ,dk,"Business, Finance","business, finan"
3,3.02,Clinical medicine,med:clin,dm,Oncology,oncology
9,9,Unmatched Subject Codes,nnn,dq,Cardiac & Cardiovascular Systems,card & cardiov sys
1,1.06,Biological sciences,sci:biol,dr,Cell Biology,cell biology
3,3.02,Clinical medicine,med:clin,ds,Critical Care Medicine,crit care medic
2,2.03,Mechanical engineering,eng:mechan,dt,Thermodynamics,thermodynamics
1,1.04,Chemical sciences,sci:chem,dw,"Chemistry, Applied","chem, applied"
3,3.01,Basic medicine,med:basic,dx,"Chemistry, Medicinal","chem, medicinal"
1,1.04,Chemical sciences,sci:chem,dy,"Chemistry, Multidisciplinary","chem, multidisc"
1,1.04,Chemical sciences,sci:chem,ea,"Chemistry, Analytical","chem, analytical"
1,1.04,Chemical sciences,sci:chem,ec,"Chemistry, Inorganic & Nuclear","chem, inorg & nucl"
1,1.04,Chemical sciences,sci:chem,ee,"Chemistry, Organic","chem, organic"
1,1.04,Chemical sciences,sci:chem,ei,"Chemistry, Physical","chem, physical"
9,9,Unmatched Subject Codes,nnn,en,Cultural Studies,culture studies
6,6.02,Languages and literature,hum:language,eo,Classics,classics
1,1.02,Computer and information sciences,sci:infosci,ep,"Computer Science, Artificial Intelligence","comp sc, ai"
3,3.01,Basic medicine,med:basic,eq,"Psychology, Clinical","psychol, clinic"
